10새	10새기	10새리	10세리	10쉐이	10쉑	10스	10쌔	10쌔기	10쎄	10알	10창	10탱	18것	18넘	쒸뻘	씨팔	염병	좁밥	찌랄	빡치네
잠지	쎅수	닝기리	fuck	니미랄	미틴넘	미틴년	미틴놈	바랄년	병자	뱅마	뱅신	세꺄	개새끼	씨파	씨브랄	양넘	존니	지럴	미친년	호로자식
조까	쎅스	색스	jiral	개시키	시뎅	시랄	시발	시벌	시부랄	시부럴	시부리	썡쇼	띄발	저새끼	씨빠	양년	존만	지롤	미친년아	후까시
조또	쎅쑤	색쑤	jot	쌍뇬	씨박	십쉐	씨방	씨방새	씨방세	씨밸	씨뱅	씹이	대가리	뙨놈	빠구리	시발	썩을년	개십새기	니미럴	띠바
족같은	쎅쓰	색쓰	penis	쉬발	엿같	옘병	옘빙	오입	왜년	왜놈	욤병	좀물	빠가	뚜쟁	빠굴	시벌	썩을놈	쎄엑	씨빨	양놈
갈보	개십새끼	니미씹	띠발	뻐큐	시부럴	개보지	걔시키	도라이	미틴년	색끼	십쉐이	개세끼	뀨년	디진다	불알	쉬밸	쌔끼	쎅	씨뽀랄	엄창
갈보년	개쐑	니아배	띠불	뻑큐	시부리	개뻥	걔썌	돈놈	미틴놈	생쑈	십스키	개세이	뀨놈	디질래	불할	쉬벌	쌕	쎅스	씨앙	엠병
같은년	개씹	니아베	띠팔	뽁큐	시불	개뿔	게색기	돌아이	바랄년	세꺄	십쌔	개소리	냄비	딩시	붕가	쉬뻘	쌩쑈	쎅쓰	씨파	엠창
같은뇬	개아들	니아비	메친넘	사까시	시브랄	개새	게색끼	돌은놈	병자	세끼	십창	개쑈	놈현	따식	붙어먹	쉬펄	쌴년	쒸벌	씨팍	여물통
개같은	개자슥	니애미	메친놈	상넘이	시팍	개새기	관종	되질래	뱅마	쇼하네	십탱	개쇳기	뇬	때놈	뷰웅	쉽알	썅	빠큐	시부랄	쎄꺄
개구라	개자지	니어매	미췬	상놈을	시팔	미틴넘	광뇬	뒈져	뱅신	쉐기	싶알	개수작	눈깔	또라이	븅	스패킹	썅년	쫒	지미랄	미친놈
개년	개접	니어메	미췬	상놈의	시펄	개새키	구녕	뒈져라	벼엉신	쉐끼	싸가지	개쉐	뉘미럴	똘아이	븅신	스팽	썅놈	존만한	짜식	미친놈아
개놈	개좆	니어미	미친넘	상놈이	심탱	개색기	구라	뒈진	병쉰	쉐리	싹아지	개쉐리	느금	똘아이	빌어먹	시끼	썅놈	졸라	짜아식	병신
개뇬	개좌식	니에미	미친년	새갸	십라	개색끼	구멍	뒈진다	병신	쉐에기	쌉년	개쉐이	느금마	뙈놈	빙시	시댕	썅뇬	좀물	쪼다	병신아
개대중	개허접	닝기리	미친놈	새꺄	십새	개색키	그년	뒈질	보지	쉐키	쌍넘	개쉑	니귀미	뙤놈	빙신	시뎅	썡쇼	좁년	쫍빱	빡쳐
개독	걔새	닝기미	미친새끼	새끼	십새끼	개색히	그새끼	뒤질래	보지년	쉑	쌍년	개쉽	니기미	뙨넘	빠가	시랄	써벌	개년아	디져라	부럴
개돼중	걔수작	대가리	미틴	새새끼	십세	개섀끼	꼬추	등신	부랄	쉣	쌍놈	개스끼	니미	짱게이	짱깨	18	지ㄹ 	개주접	. 개정은	문어벙
문빠	대깨문	토착빨갱이	빨갱이	뽕	공산주의자	개	친북좌파	친북	문제인	문빠	빨갱이	새끼	꺼지시길	꺼지	꺼져	정신이상자	좌파	북괴	문재앙	중지척
